排行,證券代号,證券名稱,市值佔大盤比重
666,6128,上福,0.0086%
667,6666,羅麗芬-KY,0.0085%
668,4571,鈞興-KY,0.0085%
669,8481,政伸,0.0085%
670,2722,夏都,0.0085%
671,3024,憶聲,0.0085%
672,3004,豐達科,0.0085%
673,3346,麗清,0.0084%
674,6449,鈺邦,0.0084%
675,6168,宏齊,0.0083%
676,1725,元禎,0.0083%
677,2008,高興昌,0.0082%
678,1786,科妍,0.0082%
679,1338,廣華-KY,0.0082%
680,9919,康那香,0.0082%
681,8463,潤泰材,0.0081%
682,4526,東台,0.0081%
683,2069,運錩,0.0081%
684,2816,旺旺保,0.0081%
685,2417,圓剛,0.008%
686,2506,太設,0.008%
687,1806,冠軍,0.008%
688,1730,花仙子,0.008%
689,8249,菱光,0.008%
690,4552,力達-KY,0.0079%
691,3356,奇偶,0.0079%
692,6201,亞弘電,0.0079%
693,3257,虹冠電,0.0079%
694,4540,全球傳動,0.0078%
695,4148,全宇生技-KY,0.0078%
696,4989,榮科,0.0078%
697,4555,氣立,0.0077%
698,4722,國精化,0.0077%
699,5907,大洋-KY,0.0077%
700,2712,遠雄來,0.0077%
701,2613,中櫃,0.0077%
702,2702,華園,0.0077%
703,2442,新美齊,0.0077%
704,1341,富林-KY,0.0077%
705,5521,工信,0.0076%
706,3528,安馳,0.0076%
707,8367,建新國際,0.0076%
708,2509,全坤建,0.0075%
709,3027,盛達,0.0075%
710,2462,良得電,0.0074%
711,3038,全台,0.0073%
712,3167,大量,0.0073%
713,2425,承啟,0.0072%
714,2413,環科,0.0072%
715,6792,詠業,0.0072%
716,6776,展碁國際,0.0072%
717,5284,jpp-KY,0.0071%
718,2477,美隆電,0.0071%
719,3092,鴻碩,0.0071%
720,2705,六福,0.0071%
721,1339,昭輝,0.0071%
722,1473,台南,0.007%
723,3032,偉訓,0.007%
724,6754,匯僑設計,0.007%
725,6442,光聖,0.0069%
726,3588,通嘉,0.0069%
727,2461,光群雷,0.0069%
728,1530,亞崴,0.0068%
729,1323,永裕,0.0068%
730,6668,中揚光,0.0068%
731,9935,慶豐富,0.0068%
732,8411,福貞-KY,0.0067%
733,1233,天仁,0.0067%
734,1529,樂事綠能,0.0067%
735,1459,聯發,0.0067%
736,2115,六暉-KY,0.0067%
737,2945,三商家購,0.0067%
738,3047,訊舟,0.0066%
739,3051,力特,0.0066%
740,1443,立益物流,0.0065%
741,5515,建國,0.0065%
742,5215,科嘉-KY,0.0065%
743,3312,弘憶股,0.0064%
744,1423,利華,0.0064%
745,1506,正道,0.0064%
746,2241,艾姆勒,0.0063%
747,2302,麗正,0.0063%
748,1618,合機,0.0063%
749,1817,凱撒衛,0.0063%
750,2739,寒舍,0.0063%
751,2460,建通,0.0063%
752,3338,泰碩,0.0063%
753,8467,波力-KY,0.0063%
754,8466,美吉吉-KY,0.0062%
755,4999,鑫禾,0.0062%
756,2630,亞航,0.0062%
757,1721,三晃,0.0062%
758,1417,嘉裕,0.0062%
759,1220,台榮,0.0062%
760,1521,大億,0.0061%
761,3013,晟銘電,0.0061%
762,2483,百容,0.006%
763,1541,錩泰,0.006%
764,1316,上曜,0.006%
765,1731,美吾華,0.006%
766,1727,中華化,0.006%
767,2032,新鋼,0.006%
768,4560,強信-KY,0.006%
769,4155,訊映,0.006%
770,3694,海華,0.006%
771,6108,競國,0.006%
772,6133,金橋,0.006%
773,8374,羅昇,0.006%
774,1531,高林股,0.0059%
